,ORIGIN_AIRPORT,delay,date
609,BUR,30,2015-12-20
610,BWI,78,2015-12-20
611,BZN,4,2015-12-20
612,CAE,7,2015-12-20
613,CAK,8,2015-12-20
614,CDC,1,2015-12-20
615,CDV,2,2015-12-20
616,CHA,8,2015-12-20
617,CHO,3,2015-12-20
618,CHS,26,2015-12-20
619,CID,9,2015-12-20
620,CIU,1,2015-12-20
621,CLE,56,2015-12-20
622,CLL,5,2015-12-20
623,CLT,155,2015-12-20
624,CMH,41,2015-12-20
625,CMI,6,2015-12-20
626,CMX,2,2015-12-20
627,COD,1,2015-12-20
628,COS,15,2015-12-20
629,COU,4,2015-12-20
630,CPR,2,2015-12-20
631,CRP,7,2015-12-20
632,CRW,4,2015-12-20
633,CSG,2,2015-12-20
634,CVG,46,2015-12-20
635,CWA,2,2015-12-20
636,DAB,2,2015-12-20
637,DAL,78,2015-12-20
638,DAY,17,2015-12-20
639,DBQ,3,2015-12-20
640,DCA,104,2015-12-20
641,DEN,248,2015-12-20
642,DFW,358,2015-12-20
643,DHN,4,2015-12-20
644,DLH,4,2015-12-20
645,DRO,3,2015-12-20
646,DSM,14,2015-12-20
647,DTW,162,2015-12-20
648,EAU,1,2015-12-20
649,ECP,8,2015-12-20
650,EGE,7,2015-12-20
651,EKO,1,2015-12-20
652,ELM,2,2015-12-20
653,ELP,21,2015-12-20
654,ERI,1,2015-12-20
655,ESC,1,2015-12-20
656,EUG,4,2015-12-20
657,EVV,8,2015-12-20
658,EWN,2,2015-12-20
659,EWR,149,2015-12-20
660,EYW,5,2015-12-20
661,FAI,1,2015-12-20
662,FAR,15,2015-12-20
663,FAT,7,2015-12-20
664,FAY,3,2015-12-20
665,FCA,4,2015-12-20
666,FLG,3,2015-12-20
667,FLL,154,2015-12-20
668,FNT,6,2015-12-20
669,FSD,8,2015-12-20
670,FSM,6,2015-12-20
671,FWA,12,2015-12-20
672,GCC,3,2015-12-20
673,GCK,2,2015-12-20
674,GEG,14,2015-12-20
675,GFK,3,2015-12-20
676,GGG,1,2015-12-20
677,GJT,8,2015-12-20
678,GNV,6,2015-12-20
