,ORIGIN_AIRPORT,count,date
856,RNO,38,2015-12-20
857,ROA,6,2015-12-20
858,ROC,20,2015-12-20
859,ROW,3,2015-12-20
860,RST,4,2015-12-20
861,RSW,117,2015-12-20
862,SAF,3,2015-12-20
863,SAN,207,2015-12-20
864,SAT,84,2015-12-20
865,SAV,18,2015-12-20
866,SBA,15,2015-12-20
867,SBN,12,2015-12-20
868,SBP,7,2015-12-20
869,SCC,2,2015-12-20
870,SCE,3,2015-12-20
871,SDF,29,2015-12-20
872,SEA,354,2015-12-20
873,SFO,466,2015-12-20
874,SGF,18,2015-12-20
875,SGU,6,2015-12-20
876,SHV,19,2015-12-20
877,SIT,3,2015-12-20
878,SJC,102,2015-12-20
879,SJT,5,2015-12-20
880,SJU,102,2015-12-20
881,SLC,320,2015-12-20
882,SMF,103,2015-12-20
883,SMX,2,2015-12-20
884,SNA,114,2015-12-20
885,SPI,5,2015-12-20
886,SPS,3,2015-12-20
887,SRQ,15,2015-12-20
888,STL,132,2015-12-20
889,STT,20,2015-12-20
890,STX,3,2015-12-20
891,SUN,5,2015-12-20
892,SUX,2,2015-12-20
893,SWF,2,2015-12-20
894,SYR,18,2015-12-20
895,TLH,8,2015-12-20
896,TOL,3,2015-12-20
897,TPA,210,2015-12-20
898,TRI,6,2015-12-20
899,TTN,9,2015-12-20
900,TUL,37,2015-12-20
901,TUS,48,2015-12-20
902,TVC,7,2015-12-20
903,TWF,3,2015-12-20
904,TXK,3,2015-12-20
905,TYR,5,2015-12-20
906,TYS,19,2015-12-20
907,VLD,3,2015-12-20
908,VPS,15,2015-12-20
909,WRG,2,2015-12-20
910,XNA,23,2015-12-20
911,YAK,2,2015-12-20
912,YUM,6,2015-12-20
913,ABE,4,2015-12-21
914,ABI,7,2015-12-21
915,ABQ,57,2015-12-21
916,ABR,2,2015-12-21
917,ABY,2,2015-12-21
918,ACT,5,2015-12-21
919,ACV,4,2015-12-21
920,ACY,10,2015-12-21
921,ADQ,1,2015-12-21
922,AEX,10,2015-12-21
923,AGS,7,2015-12-21
924,ALB,24,2015-12-21
925,ALO,2,2015-12-21
926,AMA,10,2015-12-21
927,ANC,46,2015-12-21
