,MONTH,DAY,ORIGIN_AIRPORT,count,year,date
388,12,19,DSM,21,2015,2015-12-19
389,12,19,DTW,287,2015,2015-12-19
390,12,19,DVL,1,2015,2015-12-19
391,12,19,EAU,2,2015,2015-12-19
392,12,19,ECP,11,2015,2015-12-19
393,12,19,EGE,14,2015,2015-12-19
394,12,19,EKO,1,2015,2015-12-19
395,12,19,ELM,3,2015,2015-12-19
396,12,19,ELP,28,2015,2015-12-19
397,12,19,ERI,2,2015,2015-12-19
398,12,19,ESC,1,2015,2015-12-19
399,12,19,EUG,10,2015,2015-12-19
400,12,19,EVV,9,2015,2015-12-19
401,12,19,EWN,1,2015,2015-12-19
402,12,19,EWR,272,2015,2015-12-19
403,12,19,EYW,7,2015,2015-12-19
404,12,19,FAI,6,2015,2015-12-19
405,12,19,FAR,19,2015,2015-12-19
406,12,19,FAT,20,2015,2015-12-19
407,12,19,FAY,4,2015,2015-12-19
408,12,19,FCA,7,2015,2015-12-19
409,12,19,FLG,6,2015,2015-12-19
410,12,19,FLL,274,2015,2015-12-19
411,12,19,FNT,13,2015,2015-12-19
412,12,19,FSD,11,2015,2015-12-19
413,12,19,FSM,5,2015,2015-12-19
414,12,19,FWA,13,2015,2015-12-19
415,12,19,GCC,2,2015,2015-12-19
416,12,19,GCK,2,2015,2015-12-19
417,12,19,GEG,24,2015,2015-12-19
418,12,19,GFK,5,2015,2015-12-19
419,12,19,GGG,2,2015,2015-12-19
420,12,19,GJT,12,2015,2015-12-19
421,12,19,GNV,6,2015,2015-12-19
422,12,19,GPT,9,2015,2015-12-19
423,12,19,GRB,12,2015,2015-12-19
424,12,19,GRI,2,2015,2015-12-19
425,12,19,GRK,11,2015,2015-12-19
426,12,19,GRR,23,2015,2015-12-19
427,12,19,GSO,13,2015,2015-12-19
428,12,19,GSP,16,2015,2015-12-19
429,12,19,GTF,5,2015,2015-12-19
430,12,19,GTR,2,2015,2015-12-19
431,12,19,GUC,5,2015,2015-12-19
432,12,19,GUM,1,2015,2015-12-19
433,12,19,HDN,11,2015,2015-12-19
434,12,19,HIB,2,2015,2015-12-19
435,12,19,HLN,4,2015,2015-12-19
436,12,19,HNL,135,2015,2015-12-19
437,12,19,HOB,1,2015,2015-12-19
438,12,19,HOU,121,2015,2015-12-19
439,12,19,HPN,18,2015,2015-12-19
440,12,19,HRL,8,2015,2015-12-19
441,12,19,HSV,11,2015,2015-12-19
442,12,19,HYS,1,2015,2015-12-19
443,12,19,IAD,86,2015,2015-12-19
444,12,19,IAG,1,2015,2015-12-19
445,12,19,IAH,389,2015,2015-12-19
446,12,19,ICT,24,2015,2015-12-19
447,12,19,IDA,6,2015,2015-12-19
448,12,19,ILM,5,2015,2015-12-19
449,12,19,IMT,2,2015,2015-12-19
450,12,19,IND,66,2015,2015-12-19
451,12,19,INL,2,2015,2015-12-19
452,12,19,ISN,4,2015,2015-12-19
453,12,19,ISP,12,2015,2015-12-19
454,12,19,ITH,1,2015,2015-12-19
455,12,19,ITO,15,2015,2015-12-19
456,12,19,JAC,22,2015,2015-12-19
457,12,19,JAN,17,2015,2015-12-19
458,12,19,JAX,53,2015,2015-12-19
459,12,19,JFK,271,2015,2015-12-19
460,12,19,JLN,2,2015,2015-12-19
461,12,19,JMS,1,2015,2015-12-19
462,12,19,JNU,10,2015,2015-12-19
463,12,19,KOA,37,2015,2015-12-19
464,12,19,KTN,6,2015,2015-12-19
465,12,19,LAN,7,2015,2015-12-19
466,12,19,LAR,1,2015,2015-12-19
467,12,19,LAS,378,2015,2015-12-19
468,12,19,LAW,4,2015,2015-12-19
469,12,19,LAX,542,2015,2015-12-19
470,12,19,LBB,14,2015,2015-12-19
471,12,19,LBE,3,2015,2015-12-19
472,12,19,LCH,5,2015,2015-12-19
473,12,19,LEX,12,2015,2015-12-19
474,12,19,LFT,13,2015,2015-12-19
475,12,19,LGA,212,2015,2015-12-19
476,12,19,LGB,25,2015,2015-12-19
477,12,19,LIH,37,2015,2015-12-19
478,12,19,LIT,27,2015,2015-12-19
479,12,19,LNK,8,2015,2015-12-19
480,12,19,LRD,5,2015,2015-12-19
481,12,19,LSE,5,2015,2015-12-19
482,12,19,LWS,2,2015,2015-12-19
483,12,19,MAF,11,2015,2015-12-19
484,12,19,MBS,4,2015,2015-12-19
485,12,19,MCI,86,2015,2015-12-19
486,12,19,MCO,388,2015,2015-12-19
487,12,19,MDT,8,2015,2015-12-19
488,12,19,MDW,205,2015,2015-12-19
489,12,19,MEI,2,2015,2015-12-19
490,12,19,MEM,35,2015,2015-12-19
491,12,19,MFE,6,2015,2015-12-19
492,12,19,MFR,7,2015,2015-12-19
493,12,19,MGM,7,2015,2015-12-19
494,12,19,MHK,5,2015,2015-12-19
495,12,19,MHT,16,2015,2015-12-19
496,12,19,MIA,221,2015,2015-12-19
497,12,19,MKE,66,2015,2015-12-19
498,12,19,MKG,2,2015,2015-12-19
499,12,19,MLB,5,2015,2015-12-19
500,12,19,MLI,10,2015,2015-12-19
501,12,19,MLU,8,2015,2015-12-19
502,12,19,MMH,2,2015,2015-12-19
503,12,19,MOB,14,2015,2015-12-19
504,12,19,MOT,5,2015,2015-12-19
505,12,19,MQT,1,2015,2015-12-19
506,12,19,MRY,7,2015,2015-12-19
507,12,19,MSN,24,2015,2015-12-19
508,12,19,MSO,5,2015,2015-12-19
509,12,19,MSP,311,2015,2015-12-19
510,12,19,MSY,102,2015,2015-12-19
511,12,19,MTJ,10,2015,2015-12-19
512,12,19,MYR,9,2015,2015-12-19
513,12,19,OAJ,3,2015,2015-12-19
514,12,19,OAK,107,2015,2015-12-19
515,12,19,OGG,71,2015,2015-12-19
516,12,19,OKC,41,2015,2015-12-19
